,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
124,Ca2 Mn8 C24 N24,Ca2 Mn8 C24 N24,0.29329860373172423,Ca,Mn,Mn,2.0
125,Li2 Zn4 Cr4 C24 N24,Li2 Zn4 Cr4 C24 N24,0.0028601699999999397,Li,Zn,Cr,2.0
126,Sr2 Mn4 Ni4 C24 N24,Sr2 Mn4 Ni4 C24 N24,0.005491380000000046,Sr,Ni,Mn,2.0
127,Ca2 Fe8 C24 N24,Ca2 Fe8 C24 N24,0.4185173499999999,Ca,Fe,Fe,2.0
128,Sr2 In4 Os4 C24 N24,Sr2 In4 Os4 C24 N24,0.005491380000000046,Sr,In,Os,2.0
129,Li2 Cr4 Co4 C24 N24,Li2 Cr4 Co4 C24 N24,0.0028601699999999397,Li,Co,Cr,2.0
130,Mg2 Fe4 Co4 C24 N24,Mg2 Fe4 Co4 C24 N24,0.03918191000000015,Mg,Fe,Co,2.0
131,Sr2 V4 Fe4 C24 N24,Sr2 V4 Fe4 C24 N24,0.005491380000000046,Sr,V,Fe,2.0
132,Sr2 Cr4 Co4 C24 N24,Sr2 Cr4 Co4 C24 N24,0.005491380000000046,Sr,Co,Cr,2.0
133,K2 Cr4 Os4 C24 N24,K2 Cr4 Os4 C24 N24,0.05203433416689762,K,Cr,Os,2.0
134,Ca2 Cr8 C24 N24,Ca2 Cr8 C24 N24,0.4185173499999999,Ca,Cr,Cr,2.0
135,Sr2 Mn4 V4 C24 N24,Sr2 Mn4 V4 C24 N24,0.005491380000000046,Sr,V,Mn,2.0
136,,,,,,,
137,Na2 V4 Co4 C24 N24,Na2 V4 Co4 C24 N24,0.12850119249999992,Na,V,Co,2.0
138,Mg2 Cr4 Co4 C24 N24,Mg2 Cr4 Co4 C24 N24,0.03918191000000015,Mg,Cr,Co,2.0
139,,,,,,,
140,Mg2 Cr4 Fe4 C24 N24,Mg2 Cr4 Fe4 C24 N24,0.03918191000000015,Mg,Cr,Fe,2.0
141,Sr2 Fe8 C24 N24,Sr2 Fe8 C24 N24,0.005491380000000046,Sr,Fe,Fe,2.0
142,Mg2 Mn4 Fe4 C24 N24,Mg2 Mn4 Fe4 C24 N24,0.03918191000000015,Mg,Mn,Fe,2.0
143,Sr2 Mn4 Fe4 C24 N24,Sr2 Mn4 Fe4 C24 N24,0.005491380000000046,Sr,Mn,Fe,2.0
144,Li2 V4 Cr4 C24 N24,Li2 V4 Cr4 C24 N24,0.0028601699999999397,Li,Cr,V,2.0
145,,,,,,,
