,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
217,Mg2 V4 Co4 C24 N24,Mg2 V4 Co4 C24 N24,0.33286571195011483,Mg,V,Co,2.0
218,Sr2 Fe4 Os4 C24 N24,Sr2 Fe4 Os4 C24 N24,0.15813771385494135,Sr,Fe,Os,2.0
219,,,,,,,
220,Li2 Mn4 Fe4 C24 N24,Li2 Mn4 Fe4 C24 N24,0.28108370964103097,Li,Fe,Mn,2.0
221,Na2 Fe8 C24 N24,Na2 Fe8 C24 N24,0.2294062928942555,Na,Fe,Fe,2.0
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,Na2 V8 C24 N24,Na2 V8 C24 N24,0.3963147423770117,Na,V,V,2.0
226,Sr2 V4 Os4 C24 N24,Sr2 V4 Os4 C24 N24,0.1499217614411492,Sr,V,Os,2.0
227,,,,,,,
228,,,,,,,
229,Li2 Mn4 Os4 C24 N24,Li2 Mn4 Os4 C24 N24,0.13264919344240944,Li,Mn,Os,2.0
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,K2 Cr4 Co4 C24 N24,K2 Cr4 Co4 C24 N24,0.14616255481953822,K,Cr,Co,2.0
235,Ca2 Zn4 Cr4 C24 N24,Ca2 Zn4 Cr4 C24 N24,0.4220448019705732,Ca,Zn,Cr,2.0
236,Ca2 Mn4 Zn4 C24 N24,Ca2 Mn4 Zn4 C24 N24,0.4071169349016088,Ca,Zn,Mn,2.0
237,,,,,,,
238,Li2 Co4 Os4 C24 N24,Li2 Co4 Os4 C24 N24,0.19452344706309788,Li,Co,Os,2.0
239,Na2 V4 Cr4 C24 N24,Na2 V4 Cr4 C24 N24,0.3281960530666659,Na,Cr,V,2.0
240,,,,,,,
241,Mg2 Mn4 Cr4 C24 N24,Mg2 Mn4 Cr4 C24 N24,0.3353987133294236,Mg,Cr,Mn,2.0
242,,,,,,,
243,,,,,,,
244,Sr2 Mn4 Fe4 C24 N24,Sr2 Mn4 Fe4 C24 N24,0.2671353790190807,Sr,Fe,Mn,2.0
245,Na2 Cr4 Co4 C24 N24,Na2 Cr4 Co4 C24 N24,0.17058711082528433,Na,Cr,Co,2.0
246,,,,,,,
247,,,,,,,
248,Ca2 Mn4 V4 C24 N24,Ca2 Mn4 V4 C24 N24,0.4346847348236782,Ca,Mn,V,2.0
249,,,,,,,
250,,,,,,,
251,Sr2 Co8 C24 N24,Sr2 Co8 C24 N24,0.26183067005356264,Sr,Co,Co,2.0
252,,,,,,,
253,K2 Mn4 V4 C24 N24,K2 Mn4 V4 C24 N24,0.2231724855091972,K,V,Mn,2.0
254,,,,,,,
255,Li2 Mn8 C24 N24,Li2 Mn8 C24 N24,0.2522105342962089,Li,Mn,Mn,2.0
256,,,,,,,
257,Mg2 Fe4 Os4 C24 N24,Mg2 Fe4 Os4 C24 N24,0.2746275357514936,Mg,Fe,Os,2.0
258,Li2 V4 Zn4 C24 N24,Li2 V4 Zn4 C24 N24,0.5266698628224118,Li,Zn,V,2.0
259,Sr2 Mn4 Zn4 C24 N24,Sr2 Mn4 Zn4 C24 N24,0.35807087357977,Sr,Zn,Mn,2.0
260,Ca2 Mn4 Cr4 C24 N24,Ca2 Mn4 Cr4 C24 N24,0.26989619706505685,Ca,Cr,Mn,2.0
261,K2 V4 Fe4 C24 N24,K2 V4 Fe4 C24 N24,0.35984089275057585,K,Fe,V,2.0
262,Ca2 Mn4 Co4 C24 N24,Ca2 Mn4 Co4 C24 N24,0.3658977824098848,Ca,Co,Mn,2.0
263,,Li2 Cr4 Fe4 C24 N24,0.17937248205482348,Li,Cr,Fe,2.0
264,Mg2 V4 Os4 C24 N24,Mg2 V4 Os4 C24 N24,0.20921223814068848,Mg,V,Os,2.0
265,,,,,,,
266,Li2 Mn4 Cr4 C24 N24,Li2 Mn4 Cr4 C24 N24,0.2348828506755148,Li,Cr,Mn,2.0
267,Mg2 V4 Fe4 C24 N24,Mg2 V4 Fe4 C24 N24,0.3314632659156338,Mg,V,Fe,2.0
268,Ca2 Zn4 Os4 C24 N24,Ca2 Zn4 Os4 C24 N24,0.32496626042712684,Ca,Zn,Os,2.0
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,Sr2 V4 Zn4 C24 N24,Sr2 V4 Zn4 C24 N24,0.5026719168556308,Sr,Zn,V,2.0
274,Ca2 Cr4 Co4 C24 N24,Ca2 Cr4 Co4 C24 N24,0.2821505532719541,Ca,Cr,Co,2.0
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,Li2 Zn4 Fe4 C24 N24,Li2 Zn4 Fe4 C24 N24,0.3798141957534461,Li,Zn,Fe,2.0
279,,,,,,,
280,,,,,,,
281,K2 Mn4 Cr4 C24 N24,K2 Mn4 Cr4 C24 N24,0.25061373878505755,K,Mn,Cr,2.0
282,Sr2 Mn4 V4 C24 N24,Sr2 Mn4 V4 C24 N24,0.3863995398811486,Sr,Mn,V,2.0
283,,,,,,,
284,K2 V4 Cr4 C24 N24,K2 V4 Cr4 C24 N24,0.2541653624057467,K,V,Cr,2.0
285,Ca2 Mn4 Co4 C24 N24,Ca2 Mn4 Co4 C24 N24,0.2908132339616092,Ca,Mn,Co,2.0
286,,,,,,,
287,Sr2 Mn4 Os4 C24 N24,Sr2 Mn4 Os4 C24 N24,0.13193479454459478,Sr,Mn,Os,2.0
288,,,,,,,
289,,,,,,,
290,Na2 Zn4 Os4 C24 N24,Na2 Zn4 Os4 C24 N24,0.29245002194597713,Na,Zn,Os,2.0
291,Sr2 Cr4 Os4 C24 N24,Sr2 Cr4 Os4 C24 N24,0.08716707144114544,Sr,Cr,Os,2.0
292,Na2 Fe4 Os4 C24 N24,Na2 Fe4 Os4 C24 N24,0.13415078287379245,Na,Fe,Os,2.0
293,Na2 Mn4 Cr4 C24 N24,Na2 Mn4 Cr4 C24 N24,0.19949414121126446,Na,Mn,Cr,2.0
294,Li2 V4 Co4 C24 N24,Li2 V4 Co4 C24 N24,0.2318866273996533,Li,V,Co,2.0
295,,,,,,,
296,,,,,,,
297,Mg2 Mn4 Fe4 C24 N24,Mg2 Mn4 Fe4 C24 N24,0.3807340843639064,Mg,Fe,Mn,2.0
298,Sr2 Cr4 Fe4 C24 N24,Sr2 Cr4 Fe4 C24 N24,0.2963312322949445,Sr,Fe,Cr,2.0
299,,,,,,,
300,K2 Mn4 Cr4 C24 N24,K2 Mn4 Cr4 C24 N24,0.18308700792298715,K,Cr,Mn,2.0
301,Na2 Fe4 Co4 C24 N24,Na2 Fe4 Co4 C24 N24,0.23999513289425245,Na,Co,Fe,2.0
302,,,,,,,
303,,,,,,,
304,K2 V8 C24 N24,K2 V8 C24 N24,0.3681116774057481,K,V,V,2.0
305,K2 Mn4 Fe4 C24 N24,K2 Mn4 Fe4 C24 N24,0.2323708286126429,K,Fe,Mn,2.0
306,Li2 V4 Cr4 C24 N24,Li2 V4 Cr4 C24 N24,0.3039431739513763,Li,V,Cr,2.0
307,,,,,,,
308,Mg2 Zn4 Os4 C24 N24,Mg2 Zn4 Os4 C24 N24,0.4098636272087353,Mg,Zn,Os,2.0
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,Ca2 V4 Co4 C24 N24,Ca2 V4 Co4 C24 N24,0.4873309951685041,Ca,Co,V,2.0
